player_name,nationality,matches_played,avg_match_score,par_score,par_tier,best_match_score,best_win
Aaron SONNENSCHEIN,GER,1,0.4,-0.4433,Below Average,0.4,
Abhinav THAKUR,IND,1,0.4,-0.4433,Below Average,0.4,
Abhishek YELIGAR,IND,1,0.4,-0.4433,Below Average,0.4,
Ade Resky DWICAHYO,AZE,7,0.3714,-0.4719,Below Average,1.4,Lucas CLAERBOUT
Alap MISHRA,IND,4,0.7,-0.1433,Below Average,1.4,Lakshay SHARMA
Alex LANIER,FRA,81,1.3164,0.4731,Above Average,2.6,SHI Yu Qi
Alwi FARHAN,INA,71,1.2231,0.3798,Above Average,2.6,LI Shi Feng
Anders ANTONSEN,DEN,127,1.3777,0.5344,Above Average,3.0,Kodai NARAOKA
Anthony Sinisuka GINTING,INA,79,1.1953,0.352,Above Average,3.2,SHI Yu Qi
Aria DINATA,CRO,1,0.4,-0.4433,Below Average,0.4,
Arnaud MERKLE,FRA,33,0.8655,0.0222,Below Average,2.07,Kenta NISHIMOTO
Arya BHIVPATHAKI,IND,1,0.4,-0.4433,Below Average,0.4,
Asher Jing Jie OOI,AUS,2,1.125,0.2817,Average,1.85,Jayden LIM
Ayush SHETTY,IND,56,1.1149,0.2716,Average,2.4,CHOU Tien Chen
B.M.Rahul BHARADWAJ,IND,2,0.9,0.0567,Below Average,1.4,Tarun Reddy KATAM
Bharat RAGHAV,IND,1,0.4,-0.4433,Below Average,0.4,
Brian YANG,CAN,85,0.8821,0.0388,Below Average,2.27,CHOU Tien Chen
CHAN Yin Chak,HKG,9,0.5333,-0.31,Below Average,1.2,SOONG Joo Ven
CHEAM June Wei,MAS,24,0.65,-0.1933,Below Average,1.6,Shesar Hiren RHUSTAVITO
CHEN Chi Ting,TPE,1,0.4,-0.4433,Below Average,0.4,
CHENG Kai,TPE,1,0.4,-0.4433,Below Average,0.4,
CHI Yu Jen,TPE,88,1.0212,0.1779,Average,2.7,Anders ANTONSEN
CHO Geon Yeop,KOR,7,1.4571,0.6138,Elite,2.4,LEE Chia Hao
CHO Hyeon Woo,KOR,2,1.0,0.1567,Average,1.6,Misha ZILBERMAN
CHOI JIHOON,KOR,1,0.6,-0.2433,Below Average,0.6,
CHOI Pyeong Gang,KOR,1,0.6,-0.2433,Below Average,0.6,
CHOU Tien Chen,TPE,175,1.2446,0.4013,Above Average,3.0,Kunlavut VITIDSARN
Chico Aura DWI WARDOYO,,50,0.8858,0.0425,Below Average,1.92,Toma Junior POPOV
Chirag SEN,IND,4,0.5,-0.3433,Below Average,0.8,
Christian ADINATA,INA,3,0.8,-0.0433,Below Average,1.4,Tommy SUGIARTO
Christo POPOV,FRA,105,1.2032,0.3599,Above Average,2.64,Jonatan CHRISTIE
Collins Valentine FILIMON,AUT,2,0.9,0.0567,Below Average,1.4,Tharun MANNEPALLI
DANYLO BOSNIUK,UKR,1,0.6,-0.2433,Below Average,0.6,
DO Dong Wook,KOR,1,0.6,-0.2433,Below Average,0.6,
DONG Tian Yao,CHN,4,0.95,0.1067,Average,1.6,WANG Po-Wei
Daniil DUBOVENKO,ISR,12,0.7333,-0.11,Below Average,1.6,WANG Yu-Kai
Dicky Dwi PANGESTU,AZE,1,0.4,-0.4433,Below Average,0.4,
Ditlev Jaeger HOLM,DEN,6,1.1167,0.2734,Average,1.65,Julien CARRAGGI
Dmitriy PANARIN,KAZ,9,0.5778,-0.2655,Below Average,1.8,Julien CARRAGGI
Edward LAU,NZL,2,0.4,-0.4433,Below Average,0.4,
Enogat ROY,FRA,6,0.6,-0.2433,Below Average,1.4,Rithvik Sanjeevi SATISH KUMAR
Enrico Keoni ASUNCION,USA,2,0.4,-0.4433,Below Average,0.4,
Eogene EWE,MAS,4,0.75,-0.0933,Below Average,1.4,Matthias KICKLITZ
Fabian ROTH,GER,4,0.35,-0.4933,Below Average,0.6,
Fabio CAPONIO,ITA,1,1.0,0.1567,Average,1.0,Ygor COELHO
Garret TAN,USA,1,0.6,-0.2433,Below Average,0.6,
