player_name,nationality,matches_played,avg_match_score,par_score,par_tier,best_match_score,best_win
AAKARSHI KASHYAP,IND,57,0.6281,-0.1576,Below Average,1.7,Yvonne LI
AALISHA NAIK,IND,1,0.6,-0.1856,Below Average,0.6,
AN Se Young,KOR,149,1.8405,1.0549,Elite,3.0,WANG Zhi Yi
Aadya VARIYATH,IND,1,0.2,-0.5856,Below Average,0.2,
Adita RAO,IND,1,0.6,-0.1856,Below Average,0.6,
Aditi BHATT,IND,1,0.4,-0.3856,Below Average,0.4,
Agnes KOROSI,HUN,7,0.4286,-0.3571,Below Average,0.6,
Akane YAMAGUCHI,JPN,118,1.4247,0.6391,Elite,3.0,AN Se Young
Akari KURIHARA,JPN,4,0.75,-0.0356,Below Average,1.8,Isabelle RUSLI
Amalie SCHULZ,DEN,30,0.8312,0.0455,Below Average,2.185,GAO Fang Jie
Amy WANG,NZL,1,0.2,-0.5856,Below Average,0.2,
Ania SETIEN,ESP,2,0.4,-0.3856,Below Average,0.4,
Anmol KHARB,IND,22,0.8282,0.0425,Below Average,1.87,LIN Hsiang Ti
Anna Siess RYBERG,DEN,5,0.68,-0.1056,Below Average,1.8,KEYURA MOPATI
Anna TATRANOVA,FRA,4,0.8,0.0144,Below Average,1.4,Tereza ŠVÁBÍKOVÁ
Anupama UPADHYAYA,IND,37,0.773,-0.0127,Below Average,1.8,Fadilah Shamika MOHAMED RAFI
Ashmita CHALIHA,IND,20,0.8475,0.0619,Below Average,1.6,WONG Ling Ching
Asuka TAKAHASHI,JPN,30,1.06,0.2744,Average,2.1,Wen Chi HSU
Aya OHORI,JPN,71,1.1528,0.3672,Above Average,2.05,Ying TSE
Beiwen ZHANG,USA,99,1.0662,0.2805,Average,2.0,Wen Chi HSU
Busanan ONGBAMRUNGPHAN,THA,102,1.1232,0.3376,Above Average,3.0,Akane YAMAGUCHI
CHAN Hao Wai,MAC,1,0.4,-0.3856,Below Average,0.4,
CHEN Lu,CHN,4,1.35,0.5644,Elite,1.6,Natsuki NIDAIRA
CHEN Su Yu,TPE,20,0.7675,-0.0181,Below Average,1.6,DAI Wang
CHEN Yu Fei,CHN,129,1.5295,0.7439,Elite,2.8,WANG Zhi Yi
CHIU Pin-Chian,TPE,82,1.061,0.2753,Average,2.4,NGUYEN Thuy Linh
Carolina MARIN,ESP,52,1.4354,0.6498,Elite,2.8,CHEN Yu Fei
Catlyn KRUUS,EST,1,0.2,-0.5856,Below Average,0.2,
Chiara Marvella HANDOYO,INA,1,0.6,-0.1856,Below Average,0.6,
Chloe HOANG,CAN,3,0.7333,-0.0523,Below Average,1.4,Yvonne LI
Clara AZURMENDI,ESP,22,0.6295,-0.1561,Below Average,1.6,Kaloyana NALBANTOVA
Clara LASSAUX,BEL,3,0.7333,-0.0523,Below Average,1.2,LEE Seo Yeon
DAI Wang,CHN,8,1.125,0.3394,Above Average,1.8,Akari KURIHARA
Deepshikha SINGH,IND,1,0.6,-0.1856,Below Average,0.6,
Devika SIHAG,IND,11,1.2545,0.4689,Above Average,2.2,Supanida KATETHONG
Disha GUPTA,USA,4,0.5,-0.2856,Below Average,0.6,
Dounia PELUPESSY,SUI,1,0.6,-0.1856,Below Average,0.6,
Eliana ZHANG,CAN,3,1.1333,0.3477,Above Average,1.6,Ksenia POLIKARPOVA
Ester Nurumi Tri WARDOYO,INA,28,1.0446,0.259,Average,1.65,Wen Yu ZHANG
Esther SHI,USA,4,0.75,-0.0356,Below Average,1.6,Sabrina SOLIS
Fadilah Shamika MOHAMED RAFI,UGA,1,0.2,-0.5856,Below Average,0.2,
Faye HUO,AUS,1,0.2,-0.5856,Below Average,0.2,
GADDE Ruthvika Shivani,IND,3,0.7333,-0.0523,Below Average,1.6,Ksenia POLIKARPOVA
GAO Fang Jie,CHN,80,1.1311,0.3455,Above Average,2.6,WANG Zhi Yi
GOH Jin Wei,MAS,45,0.7756,-0.0101,Below Average,2.0,HAN Qian Xi
Gregoria Mariska TUNJUNG,INA,92,1.2222,0.4365,Above Average,2.7,Akane YAMAGUCHI
HAN Qian Xi,CHN,34,1.1368,0.3511,Above Average,2.6,Tomoka MIYAZAKI
HAN Yu Chen,TPE,1,0.4,-0.3856,Below Average,0.4,
HAN Yue,CHN,146,1.3319,0.5463,Elite,3.2,WANG Zhi Yi
HE Bing Jiao,CHN,46,1.2293,0.4437,Above Average,2.0,Michelle LI
HUANG Ching Ping,TPE,16,0.6156,-0.17,Below Average,1.45,Lianne TAN
HUANG Yu-Hsun,TPE,52,0.8673,0.0817,Below Average,2.5,Putri Kusuma WARDANI
HUNG Yi-Ting,TPE,20,0.86,0.0744,Below Average,2.1,SUNG Shuo Yun
Haramara GAITAN,MEX,1,0.4,-0.3856,Below Average,0.4,
Heli NEIMAN,ISR,2,0.4,-0.3856,Below Average,0.6,
Hina AKECHI,JPN,40,1.2062,0.4206,Above Average,2.3,Nozomi OKUHARA
Hristomira POPOVSKA,BUL,2,0.4,-0.3856,Below Average,0.4,
INSYIRAH Khan,SGP,2,0.5,-0.2856,Below Average,0.6,
IRA SHARMA,IND,5,0.8,0.0144,Below Average,1.4,HUNG Yi-Ting
Imad Farooqui SAMIYA,IND,6,0.4667,-0.319,Below Average,0.6,
Ines Lucia CASTILLO,PER,12,0.5042,-0.2815,Below Average,1.4,Disha GUPTA
Ira Sameer ACHARYA,AUS,1,0.0,-0.7856,Below Average,0.0,
Irina Amalie ANDERSEN,DEN,2,1.0,0.2144,Average,1.6,Disha GUPTA
Iris WANG,USA,9,1.0444,0.2588,Average,1.8,Jackie DENT
Isabelle RUSLI,USA,2,0.3,-0.4856,Below Average,0.4,
Isharani BARUAH,IND,17,1.0824,0.2967,Average,2.6,SUNG Shuo Yun
Ishika JAISWAL,USA,9,0.7333,-0.0523,Below Average,2.0,THET HTAR THUZAR
Jackie DENT,CAN,4,0.3,-0.4856,Below Average,0.6,
Janani ANANTHAKUMAR,IND,2,1.0,0.2144,Average,1.6,LIN Sih Yun
Jenjira STADELMANN,SUI,3,0.4,-0.3856,Below Average,0.6,
Jennie GAI,USA,1,0.8,0.0144,Below Average,0.8,
Joanna RUDNA,POL,1,0.4,-0.3856,Below Average,0.4,
Juliana Viana VIEIRA,BRA,12,0.7,-0.0856,Below Average,1.6,Ishika JAISWAL
Julie Dawall JAKOBSEN,DEN,46,0.9304,0.1448,Average,3.0,TAI Tzu Ying
KEYURA MOPATI,IND,4,0.3,-0.4856,Below Average,0.4,
KIM Ga Eun,KOR,87,1.2047,0.419,Above Average,2.8,WANG Zhi Yi
KIM Ga Ram,KOR,7,0.8286,0.0429,Below Average,1.6,Manami SUIZU
KIM Joo Eun,KOR,12,0.8583,0.0727,Below Average,1.8,Vivien SANDORHAZI
KIM Min Ji,KOR,1,0.6,-0.1856,Below Average,0.6,
KIM Min Sun,KOR,4,1.025,0.2394,Average,2.1,NGUYEN Thuy Linh
KIM Seong Min,KOR,2,0.3,-0.4856,Below Average,0.4,
KISONA Selvaduray,MAS,14,0.7357,-0.0499,Below Average,1.65,Kaloyana NALBANTOVA
Kai Qi (Bernice) TEOH,AUS,4,0.6625,-0.1231,Below Average,1.65,Yuelin ZHANG
Kaloyana NALBANTOVA,BUL,21,0.8571,0.0715,Below Average,2.0,Busanan ONGBAMRUNGPHAN
Kana FURUKAWA,JPN,1,0.6,-0.1856,Below Average,0.6,
Kaoru SUGIYAMA,JPN,19,0.7868,0.0012,Below Average,1.9,Lauren LAM
Karupathevan LETSHANAA,MAS,44,0.905,0.1194,Average,2.07,Michelle LI
Kate FROST,IRL,1,0.4,-0.3856,Below Average,0.4,
Kavipriya SELVAM,IND,1,0.6,-0.1856,Below Average,0.6,
Keisha Fatimah AZZAHRA,AZE,15,0.7547,-0.031,Below Average,1.87,Beiwen ZHANG
Kirsty GILMOUR,SCO,66,0.9089,0.1233,Average,2.34,Gregoria Mariska TUNJUNG
Komang Ayu Cahya DEWI,INA,36,0.9028,0.1171,Average,1.85,Tasnim MIR
Kristin KUUBA,EST,8,0.5562,-0.2294,Below Average,1.45,Nella NYQVIST
Ksenia POLIKARPOVA,ISR,4,0.7,-0.0856,Below Average,1.2,Jennie GAI
LALINRAT CHAIWAN,THA,20,0.9475,0.1619,Average,2.5,AAKARSHI KASHYAP
LEE Se Yeon,KOR,1,0.4,-0.3856,Below Average,0.4,
LEE Seo Yeon,KOR,1,0.8,0.0144,Below Average,0.8,
LEE So Yul,KOR,6,1.1667,0.381,Above Average,1.6,CHEN Su Yu
LEE Xin Yi Megan,SGP,1,0.4,-0.3856,Below Average,0.4,
LEE Yu-Hsuan,TPE,4,0.25,-0.5356,Below Average,0.4,
LIANG Ka Wing,HKG,2,0.6,-0.1856,Below Average,0.6,
LIANG Ting Yu,TPE,35,0.76,-0.0256,Below Average,1.65,NGUYEN Thuy Linh
LIN Hsiang Ti,TPE,88,1.0106,0.225,Average,2.385,Tomoka MIYAZAKI
LIN Sih Yun,TPE,8,0.625,-0.1606,Below Average,1.6,Kaoru SUGIYAMA
LO Sin Yan Happy,HKG,30,0.9017,0.116,Average,2.5,Akane YAMAGUCHI
Lauren LAM,USA,33,0.6809,-0.1047,Below Average,1.87,Line CHRISTOPHERSEN
Lianne TAN,BEL,17,0.65,-0.1356,Below Average,1.65,Unnati HOODA
Line CHRISTOPHERSEN,DEN,90,1.0508,0.2651,Average,2.6,Line Højmark KJAERSFELDT
Line Højmark KJAERSFELDT,DEN,92,1.0397,0.254,Average,2.9,Nozomi OKUHARA
Louisa MA,AUS,1,0.2,-0.5856,Below Average,0.2,
Lucie AMIGUET,SUI,1,0.4,-0.3856,Below Average,0.4,
LéOnice HUET,FRA,9,0.8222,0.0366,Below Average,1.6,Rosy Oktavia PANCASARI
MANSI SINGH,IND,3,0.8,0.0144,Below Average,1.6,Prakriti BHARATH
Malvika BANSOD,IND,61,0.8562,0.0706,Below Average,2.3,Kirsty GILMOUR
Manami SUIZU,JPN,44,1.0493,0.2637,Average,2.6,NGUYEN Thuy Linh
