player_name,tournament_name,tier,date,matches_in_tournament,tournament_par
Aaron SONNENSCHEIN,Hylo Open 2024,Super300,2024-01-29,1,-0.4433
Abhinav THAKUR,SYED MODI India International 2025,Super300,2025-01-25,1,-0.4433
Abhishek YELIGAR,SATHIO GROUP Australian Open 2024,Super500,2024-01-11,1,-0.4433
Ade Resky DWICAHYO,Korea Masters 2023,Super300,2023-01-07,1,-0.8433
Ade Resky DWICAHYO,Hylo Open 2023,Super300,2023-01-31,1,-0.4433
Ade Resky DWICAHYO,Orleans Masters Badminton presented by VICTOR 2024,Super300,2024-01-12,2,-0.8433
Ade Resky DWICAHYO,Syed Modi India International 2024,Super300,2024-01-26,1,-0.2433
Ade Resky DWICAHYO,Hylo Open 2024,Super300,2024-01-29,2,-0.0433
Alap MISHRA,Sands China Ltd. Macau Open Badminton 2024,Super300,2024-01-24,1,-0.6433
Alap MISHRA,Syed Modi India International 2024,Super300,2024-01-26,1,-0.2433
Alap MISHRA,SYED MODI India International 2025,Super300,2025-01-25,2,0.1567
Alex LANIER,Syed Modi India International 2023,Super300,2023-01-28,4,0.3567
Alex LANIER,Hylo Open 2023,Super300,2023-01-31,4,0.3567
Alex LANIER,YONEX Canada Open 2024,Super500,2024-01-02,5,0.5837
Alex LANIER,CLASH ROYALE Arctic Open 2024 powered by YONEX,Super500,2024-01-08,3,0.6734
Alex LANIER,Kumamoto Masters Japan 2024,Super500,2024-01-12,1,-0.4433
Alex LANIER,Orleans Masters Badminton presented by VICTOR 2024,Super300,2024-01-12,3,-0.3766
Alex LANIER,VICTOR Denmark Open 2024,Super750,2024-01-15,4,0.6617
Alex LANIER,LI-NING China Masters 2024,Super750,2024-01-19,2,0.4267
Alex LANIER,YONEX Swiss Open 2024,Super300,2024-01-19,2,0.1567
Alex LANIER,DAIHATSU Japan Open 2024,Super750,2024-01-20,5,1.0487
Alex LANIER,YONEX US Open 2024,Super300,2024-01-25,1,-0.4433
Alex LANIER,Korea Open 2024,Super500,2024-01-27,1,-0.2433
Alex LANIER,YONEX German Open 2024,Super300,2024-01-27,2,-0.0433
Alex LANIER,KAPAL API Indonesia Open 2025,Super1000,2025-01-03,3,0.57
Alex LANIER,Orleans Masters Badminton 2025 presented by VICTOR,Super300,2025-01-04,5,0.9167
Alex LANIER,PETRONAS Malaysia Open 2025,Super1000,2025-01-07,1,-0.4433
Alex LANIER,YONEX All England Open Badminton Championships 2025,Super1000,2025-01-11,4,0.6767
Alex LANIER,VICTOR Denmark Open 2025,Super750,2025-01-14,4,0.3867
Alex LANIER,YONEX-SUNRISE India Open 2025,Super750,2025-01-14,2,0.6917
Alex LANIER,DAIHATSU Japan Open 2025,Super750,2025-01-15,5,0.9387
Alex LANIER,LI-NING China Masters 2025,Super750,2025-01-16,3,0.3567
Alex LANIER,YONEX French Open 2025,Super750,2025-01-21,1,-0.2433
Alex LANIER,VICTOR China Open 2025,Super1000,2025-01-22,1,-0.2433
