player_name,tournament_name,tier,date,matches_in_tournament,tournament_par
AAKARSHI KASHYAP,SATHIO GROUP Australian Open 2023,Super500,2023-01-01,2,0.1394
AAKARSHI KASHYAP,CLASH OF CLANS Arctic Open 2023 powered by YONEX,Super500,2023-01-10,2,-0.0606
AAKARSHI KASHYAP,PETRONAS Malaysia Open 2023,Super1000,2023-01-10,1,-0.5856
AAKARSHI KASHYAP,VICTOR Hong Kong Open 2023,Super500,2023-01-12,1,-0.3856
AAKARSHI KASHYAP,KAPAL API GROUP Indonesia Open 2023,Super1000,2023-01-13,1,-0.5856
AAKARSHI KASHYAP,VICTOR Denmark Open 2023,Super750,2023-01-17,2,0.2644
AAKARSHI KASHYAP,YONEX SUNRISE India Open 2023,Super750,2023-01-17,1,-0.3856
AAKARSHI KASHYAP,Korea Open 2023,Super500,2023-01-18,1,-0.3856
AAKARSHI KASHYAP,LI-NING China Masters 2023,Super750,2023-01-21,1,-0.3856
AAKARSHI KASHYAP,DAIHATSU Indonesia Masters 2023,Super500,2023-01-24,1,-0.1856
AAKARSHI KASHYAP,Syed Modi India International 2023,Super300,2023-01-28,1,-0.1856
AAKARSHI KASHYAP,Hylo Open 2023,Super300,2023-01-31,1,-0.3856
AAKARSHI KASHYAP,YONEX Taipei Open 2024,Super300,2024-01-03,1,0.0144
AAKARSHI KASHYAP,KAPAL API Indonesia Open 2024,Super1000,2024-01-04,1,-0.3856
AAKARSHI KASHYAP,CLASH ROYALE Arctic Open 2024 powered by YONEX,Super500,2024-01-08,2,0.0394
AAKARSHI KASHYAP,PETRONAS Malaysia Open 2024,Super1000,2024-01-09,1,-0.1856
AAKARSHI KASHYAP,LI-NING Hong Kong Open 2024,Super500,2024-01-10,1,-0.3856
AAKARSHI KASHYAP,SATHIO GROUP Australian Open 2024,Super500,2024-01-11,3,0.4477
AAKARSHI KASHYAP,YONEX All England Open Badminton Championships 2024,Super1000,2024-01-12,1,-0.3856
AAKARSHI KASHYAP,TOYOTA Thailand Open 2024,Super500,2024-01-14,1,-0.5856
AAKARSHI KASHYAP,VICTOR Denmark Open 2024,Super750,2024-01-15,1,-0.3856
AAKARSHI KASHYAP,YONEX SUNRISE India Open 2024,Super750,2024-01-16,1,-0.5856
AAKARSHI KASHYAP,VICTOR China Open 2024,Super1000,2024-01-17,1,-0.1856
AAKARSHI KASHYAP,LI-NING China Masters 2024,Super750,2024-01-19,1,-0.3856
AAKARSHI KASHYAP,DAIHATSU Japan Open 2024,Super750,2024-01-20,1,-0.3856
AAKARSHI KASHYAP,PERODUA Malaysia Masters 2024,Super500,2024-01-21,1,-0.1856
AAKARSHI KASHYAP,Syed Modi India International 2024,Super300,2024-01-26,1,-0.5856
AAKARSHI KASHYAP,Korea Open 2024,Super500,2024-01-27,1,-0.1856
AAKARSHI KASHYAP,YONEX German Open 2024,Super300,2024-01-27,2,0.1144
AAKARSHI KASHYAP,KFF Singapore Badminton Open 2024,Super750,2024-01-28,1,0.0144
AAKARSHI KASHYAP,YONEX Taipei Open 2025,Super300,2025-01-06,1,-0.5856
AAKARSHI KASHYAP,PETRONAS Malaysia Open 2025,Super1000,2025-01-07,1,-0.3856
