player_id,name,nationality,current_world_ranking,matches_played,win_rate,discipline
aakarshi-kashyap,AAKARSHI KASHYAP,IND,,57,0.1754,WS
aalisha-naik,AALISHA NAIK,IND,,1,0.0,WS
an-se-young,AN Se Young,KOR,,149,0.9396,WS
aadya-variyath,Aadya VARIYATH,IND,,1,0.0,WS
adita-rao,Adita RAO,IND,,1,0.0,WS
aditi-bhatt,Aditi BHATT,IND,,1,0.0,WS
agnes-korosi,Agnes KOROSI,HUN,,7,0.0,WS
akane-yamaguchi,Akane YAMAGUCHI,JPN,,118,0.7542,WS
akari-kurihara,Akari KURIHARA,JPN,,4,0.25,WS
amalie-schulz,Amalie SCHULZ,DEN,,30,0.3333,WS
amy-wang,Amy WANG,NZL,,1,0.0,WS
ania-setien,Ania SETIEN,ESP,,2,0.0,WS
anmol-kharb,Anmol KHARB,IND,,22,0.3182,WS
anna-siess-ryberg,Anna Siess RYBERG,DEN,,5,0.2,WS
anna-tatranova,Anna TATRANOVA,FRA,,4,0.25,WS
anupama-upadhyaya,Anupama UPADHYAYA,IND,,37,0.2703,WS
ashmita-chaliha,Ashmita CHALIHA,IND,,20,0.4,WS
asuka-takahashi,Asuka TAKAHASHI,JPN,,30,0.5,WS
aya-ohori,Aya OHORI,JPN,,71,0.5775,WS
beiwen-zhang,Beiwen ZHANG,USA,,99,0.5354,WS
busanan-ongbamrungphan,Busanan ONGBAMRUNGPHAN,THA,,102,0.5196,WS
chan-hao-wai,CHAN Hao Wai,MAC,,1,0.0,WS
chen-lu,CHEN Lu,CHN,,4,0.75,WS
chen-su-yu,CHEN Su Yu,TPE,,20,0.3,WS
chen-yu-fei,CHEN Yu Fei,CHN,,129,0.814,WS
chiu-pin-chian,CHIU Pin-Chian,TPE,,82,0.5122,WS
carolina-marin,Carolina MARIN,ESP,,52,0.7692,WS
catlyn-kruus,Catlyn KRUUS,EST,,1,0.0,WS
chiara-marvella-handoyo,Chiara Marvella HANDOYO,INA,,1,0.0,WS
chloe-hoang,Chloe HOANG,CAN,,3,0.3333,WS
clara-azurmendi,Clara AZURMENDI,ESP,,22,0.2273,WS
clara-lassaux,Clara LASSAUX,BEL,,3,0.3333,WS
dai-wang,DAI Wang,CHN,,8,0.5,WS
deepshikha-singh,Deepshikha SINGH,IND,,1,0.0,WS
devika-sihag,Devika SIHAG,IND,,11,0.6364,WS
disha-gupta,Disha GUPTA,USA,,4,0.0,WS
dounia-pelupessy,Dounia PELUPESSY,SUI,,1,0.0,WS
eliana-zhang,Eliana ZHANG,CAN,,3,0.6667,WS
ester-nurumi-tri-wardoyo,Ester Nurumi Tri WARDOYO,INA,,28,0.5714,WS
esther-shi,Esther SHI,USA,,4,0.25,WS
fadilah-shamika-mohamed-rafi,Fadilah Shamika MOHAMED RAFI,UGA,,1,0.0,WS
faye-huo,Faye HUO,AUS,,1,0.0,WS
gadde-ruthvika-shivani,GADDE Ruthvika Shivani,IND,,3,0.3333,WS
gao-fang-jie,GAO Fang Jie,CHN,,80,0.525,WS
goh-jin-wei,GOH Jin Wei,MAS,,45,0.2889,WS
gregoria-mariska-tunjung,Gregoria Mariska TUNJUNG,INA,,92,0.6304,WS
han-qian-xi,HAN Qian Xi,CHN,,34,0.5588,WS
han-yu-chen,HAN Yu Chen,TPE,,1,0.0,WS
han-yue,HAN Yue,CHN,,146,0.7055,WS
he-bing-jiao,HE Bing Jiao,CHN,,46,0.6522,WS
huang-ching-ping,HUANG Ching Ping,TPE,,16,0.125,WS
huang-yu-hsun,HUANG Yu-Hsun,TPE,,52,0.3269,WS
hung-yi-ting,HUNG Yi-Ting,TPE,,20,0.35,WS
